model_loaded,test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel
True,A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.1516454219818115,0.9123221635818481,0.9899876117706299,0.9797345995903015,0.1809450384962269,0.2277393234980764,0.261164644147546,1.0154853710531642,0.8693571603844283,270,20000,P1
True,A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.0795719623565674,0.8554961681365967,0.9921218752861023,0.9839811325073242,0.1809450384962269,0.2277393234980764,0.261164644147546,1.0154853710531642,0.8693571603844283,270,20000,P2
True,A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.7682498693466187,1.4017218351364136,0.9764599800109863,0.9505652785301208,0.1809450384962269,0.2277393234980764,0.261164644147546,1.0154853710531642,0.8693571603844283,270,20000,POz
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.4946413040161133,1.8574856519699097,0.9777911305427551,0.9559846116927038,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.350957155227661,1.8443588018417358,0.9786418080329895,0.957281768321991,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,FC3
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.111342430114746,1.669529914855957,0.984009861946106,0.9675409197807312,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,FC1
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.5958991050720215,2.065075159072876,0.9765976667404175,0.9529942274093628,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,FCz
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.021294116973877,1.5956169366836548,0.985146701335907,0.9702541828155518,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,FC2
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.2944300174713135,1.7881407737731934,0.9803037643432617,0.9608072638511658,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,FC4
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,4.29178524017334,3.0318357944488525,0.9197018146514893,0.8398975133895874,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,C5
