Condition,Trial,Channel,Pearson_r,MSE
Baseline (in_silence),trial_20,T4,-0.2556023309639089,1.0799763351666496e-11
Baseline (in_silence),trial_20,T5,-0.052287369853570576,7.471274454475501e-12
Baseline (in_silence),trial_20,T6,-0.20366081138108313,1.310913462164204e-11
Baseline (with_audio_and_visual_stimulus),trial_01,F7,-0.2451044665245528,3.273258286103854e-11
Baseline (with_audio_and_visual_stimulus),trial_01,F3,-0.24191360449978738,1.3795940349477392e-11
Baseline (with_audio_and_visual_stimulus),trial_01,F4,-0.31880620333095133,1.8428335347147356e-11
Baseline (with_audio_and_visual_stimulus),trial_01,F8,-0.43914643255336233,3.268507997290968e-11
Baseline (with_audio_and_visual_stimulus),trial_01,T3,-0.11328343184473452,1.340376343486689e-11
Baseline (with_audio_and_visual_stimulus),trial_01,T4,-0.21243039729714946,1.3905230798154714e-11
Baseline (with_audio_and_visual_stimulus),trial_01,T5,0.03062083578080783,9.786498491669996e-12
Baseline (with_audio_and_visual_stimulus),trial_01,T6,-0.2586222381935962,2.0412687611195723e-11
Baseline (with_audio_and_visual_stimulus),trial_02,F7,-0.2224739268696293,2.66389781371617e-11
Baseline (with_audio_and_visual_stimulus),trial_02,F3,-0.14365591186409035,1.1149302935109267e-11
Baseline (with_audio_and_visual_stimulus),trial_02,F4,-0.1735496637168985,1.5736111122252955e-11
Baseline (with_audio_and_visual_stimulus),trial_02,F8,-0.34453065470084465,3.374515363409353e-11
Baseline (with_audio_and_visual_stimulus),trial_02,T3,-0.16098055253758942,1.3212799221391785e-11
Baseline (with_audio_and_visual_stimulus),trial_02,T4,-0.19985111163503255,9.92412014571904e-12
Baseline (with_audio_and_visual_stimulus),trial_02,T5,-0.14647226176936423,9.62491530787926e-12
Baseline (with_audio_and_visual_stimulus),trial_02,T6,-0.19959548375934166,1.566356407405052e-11
Baseline (with_audio_and_visual_stimulus),trial_03,F7,-0.1324779290782768,3.159450702711125e-11
Baseline (with_audio_and_visual_stimulus),trial_03,F3,-0.11550177091353364,1.447695234344459e-11
Baseline (with_audio_and_visual_stimulus),trial_03,F4,-0.16121775311964753,2.156697298686779e-11
Baseline (with_audio_and_visual_stimulus),trial_03,F8,-0.30457170871020756,4.612614414371115e-11
Baseline (with_audio_and_visual_stimulus),trial_03,T3,-0.16401051476664588,1.6118281817526705e-11
Baseline (with_audio_and_visual_stimulus),trial_03,T4,-0.11335907972844776,1.4543438727032017e-11
Baseline (with_audio_and_visual_stimulus),trial_03,T5,-0.15731964820301464,1.2874617376325612e-11
Baseline (with_audio_and_visual_stimulus),trial_03,T6,-0.20984098348798033,1.560901681739315e-11
Baseline (with_audio_and_visual_stimulus),trial_04,F7,-0.2088397348541379,3.0875150763822015e-11
Baseline (with_audio_and_visual_stimulus),trial_04,F3,-0.18528930642469987,1.6892991197555947e-11
Baseline (with_audio_and_visual_stimulus),trial_04,F4,-0.22465817304662436,2.8353602334352875e-11
Baseline (with_audio_and_visual_stimulus),trial_04,F8,-0.272182065576285,2.476660134948031e-11
Baseline (with_audio_and_visual_stimulus),trial_04,T3,-0.1528566469107638,1.9382198947575162e-11
Baseline (with_audio_and_visual_stimulus),trial_04,T4,-0.08901156610001783,1.4325322755797735e-11
Baseline (with_audio_and_visual_stimulus),trial_04,T5,-0.08064222521286481,1.4322883768933679e-11
Baseline (with_audio_and_visual_stimulus),trial_04,T6,-0.1986012404179816,1.7773262191381935e-11
Baseline (with_audio_and_visual_stimulus),trial_05,F7,-0.3630050454397237,3.6795469882467155e-11
Baseline (with_audio_and_visual_stimulus),trial_05,F3,-0.07890017705025434,1.1130052541228644e-11
Baseline (with_audio_and_visual_stimulus),trial_05,F4,-0.2265878267831404,1.764674828385264e-11
Baseline (with_audio_and_visual_stimulus),trial_05,F8,-0.3059996039364244,2.9445332547167715e-11
Baseline (with_audio_and_visual_stimulus),trial_05,T3,-0.15818834749231278,1.587251486431423e-11
Baseline (with_audio_and_visual_stimulus),trial_05,T4,-0.15476212006345416,1.0795474747315457e-11
Baseline (with_audio_and_visual_stimulus),trial_05,T5,-0.03792115313393437,1.0370194535811477e-11
Baseline (with_audio_and_visual_stimulus),trial_05,T6,-0.21506593985273978,1.5202327789164644e-11
Baseline (with_audio_and_visual_stimulus),trial_06,F7,-0.3812671126356473,6.037006133985106e-11
Baseline (with_audio_and_visual_stimulus),trial_06,F3,-0.022863882272668567,1.432462551510929e-11
Baseline (with_audio_and_visual_stimulus),trial_06,F4,-0.254067753838507,1.9684003581771496e-11
Baseline (with_audio_and_visual_stimulus),trial_06,F8,-0.4174463499536324,4.187566356788412e-11
Baseline (with_audio_and_visual_stimulus),trial_06,T3,-0.11219050405268381,1.689593840006816e-11
Baseline (with_audio_and_visual_stimulus),trial_06,T4,-0.13482610250221974,1.2965352778937276e-11
Baseline (with_audio_and_visual_stimulus),trial_06,T5,-0.17405612586932612,1.2093066682714838e-11
Baseline (with_audio_and_visual_stimulus),trial_06,T6,-0.2446409659245267,1.60456695376724e-11
Baseline (with_audio_and_visual_stimulus),trial_07,F7,-0.2498509417538835,3.2227900314656045e-11
Baseline (with_audio_and_visual_stimulus),trial_07,F3,-0.03315258213133148,1.4856979601094966e-11
Baseline (with_audio_and_visual_stimulus),trial_07,F4,-0.24688013809817994,2.5141112726854053e-11
Baseline (with_audio_and_visual_stimulus),trial_07,F8,-0.3616701394172517,2.972155660160158e-11
Baseline (with_audio_and_visual_stimulus),trial_07,T3,-0.12120319922787955,1.620385456810708e-11
Baseline (with_audio_and_visual_stimulus),trial_07,T4,-0.1610830677771443,1.3510269540594442e-11
Baseline (with_audio_and_visual_stimulus),trial_07,T5,-0.19142747606296942,1.2261532801136516e-11
Baseline (with_audio_and_visual_stimulus),trial_07,T6,-0.18350269525762544,1.6449244449332705e-11
Baseline (with_audio_and_visual_stimulus),trial_08,F7,-0.12191644617861487,4.13443811361433e-11
Baseline (with_audio_and_visual_stimulus),trial_08,F3,-0.104072465029885,1.7688126960393145e-11
Baseline (with_audio_and_visual_stimulus),trial_08,F4,-0.12475808888117,2.8019382330065323e-11
Baseline (with_audio_and_visual_stimulus),trial_08,F8,-0.26341031184153935,7.924867849241598e-11
Baseline (with_audio_and_visual_stimulus),trial_08,T3,-0.1481143203735887,2.091906228395597e-11
Baseline (with_audio_and_visual_stimulus),trial_08,T4,-0.09543975424981849,2.2784982245546317e-11
Baseline (with_audio_and_visual_stimulus),trial_08,T5,-0.1595551910358762,1.54361038744925e-11
Baseline (with_audio_and_visual_stimulus),trial_08,T6,-0.2353832437574913,2.294513340433771e-11
Baseline (with_audio_and_visual_stimulus),trial_09,F7,-0.30890585490820593,2.9922502664223675e-11
Baseline (with_audio_and_visual_stimulus),trial_09,F3,-0.005033949234527348,1.6709484537538454e-11
Baseline (with_audio_and_visual_stimulus),trial_09,F4,-0.15022857559904587,2.5299211611246363e-11
Baseline (with_audio_and_visual_stimulus),trial_09,F8,-0.40597661511638883,2.987512111438334e-11
Baseline (with_audio_and_visual_stimulus),trial_09,T3,-0.08181139478276464,1.9902997962092276e-11
Baseline (with_audio_and_visual_stimulus),trial_09,T4,-0.21790848244442618,1.5636594691958085e-11
Baseline (with_audio_and_visual_stimulus),trial_09,T5,-0.11631130831616869,1.3964090676218118e-11
Baseline (with_audio_and_visual_stimulus),trial_09,T6,-0.19539781138569945,1.636071276448646e-11
Baseline (with_audio_and_visual_stimulus),trial_10,F7,-0.3300009309399438,3.933718673199577e-11
Baseline (with_audio_and_visual_stimulus),trial_10,F3,-0.10938142281093861,1.1457002830490188e-11
Baseline (with_audio_and_visual_stimulus),trial_10,F4,-0.21425912343979348,2.2764279158320572e-11
Baseline (with_audio_and_visual_stimulus),trial_10,F8,-0.1400859718714877,2.2682830322598447e-11
Baseline (with_audio_and_visual_stimulus),trial_10,T3,-0.12565071487326063,1.594754220516177e-11
Baseline (with_audio_and_visual_stimulus),trial_10,T4,-0.20418467823968828,1.158582148763121e-11
Baseline (with_audio_and_visual_stimulus),trial_10,T5,-0.2347144407694405,1.3549025374976981e-11
Baseline (with_audio_and_visual_stimulus),trial_10,T6,-0.2364333113987323,1.6449204362449446e-11
Baseline (with_audio_and_visual_stimulus),trial_11,F7,-0.3148884044080101,8.31077915914253e-11
Baseline (with_audio_and_visual_stimulus),trial_11,F3,-0.016950864829441355,1.6816125078163332e-11
Baseline (with_audio_and_visual_stimulus),trial_11,F4,-0.19270019757890391,2.1954917749749703e-11
Baseline (with_audio_and_visual_stimulus),trial_11,F8,-0.3418878866854855,5.740713294566428e-11
Baseline (with_audio_and_visual_stimulus),trial_11,T3,-0.16571321224915272,2.060160804896705e-11
Baseline (with_audio_and_visual_stimulus),trial_11,T4,-0.09064925196400068,1.3352341847896291e-11
Baseline (with_audio_and_visual_stimulus),trial_11,T5,-0.15748230510451203,1.282309181565258e-11
Baseline (with_audio_and_visual_stimulus),trial_11,T6,-0.22720698011981838,1.5712514165731972e-11
Baseline (with_audio_and_visual_stimulus),trial_12,F7,-0.35814207589708663,4.430929814523059e-11
Baseline (with_audio_and_visual_stimulus),trial_12,F3,0.035857815663040665,1.4449220565346614e-11
Baseline (with_audio_and_visual_stimulus),trial_12,F4,-0.19710921830246939,2.7040150473569076e-11
Baseline (with_audio_and_visual_stimulus),trial_12,F8,-0.27786102413083585,3.9370013132588544e-11
Baseline (with_audio_and_visual_stimulus),trial_12,T3,-0.06128057098970085,2.3068618076118308e-11
Baseline (with_audio_and_visual_stimulus),trial_12,T4,-0.10208712634070216,1.740115117298647e-11
Baseline (with_audio_and_visual_stimulus),trial_12,T5,-0.12886461413390624,1.1937716605147942e-11
Baseline (with_audio_and_visual_stimulus),trial_12,T6,-0.1619303077170044,1.274242990304737e-11
Baseline (with_audio_and_visual_stimulus),trial_13,F7,-0.32594086781436005,7.006924958738695e-11
Baseline (with_audio_and_visual_stimulus),trial_13,F3,-0.05743087215847205,1.2241750892133776e-11
Baseline (with_audio_and_visual_stimulus),trial_13,F4,-0.12096840020293925,1.5402082836055346e-11
Baseline (with_audio_and_visual_stimulus),trial_13,F8,-0.3065584763856819,7.329038538234362e-11
Baseline (with_audio_and_visual_stimulus),trial_13,T3,-0.2049080040548029,1.5277244776533998e-11
Baseline (with_audio_and_visual_stimulus),trial_13,T4,-0.09989675607512316,1.372800453876641e-11
Baseline (with_audio_and_visual_stimulus),trial_13,T5,-0.19563528865711935,1.1989496505167826e-11
Baseline (with_audio_and_visual_stimulus),trial_13,T6,-0.1725176333754427,1.4827956353178577e-11
Baseline (with_audio_and_visual_stimulus),trial_14,F7,-0.1793482508708673,1.5943648720172988e-11
Baseline (with_audio_and_visual_stimulus),trial_14,F3,-0.12292566160174744,1.2150743939701947e-11
Baseline (with_audio_and_visual_stimulus),trial_14,F4,-0.06125820697058507,1.7180665571503863e-11
Baseline (with_audio_and_visual_stimulus),trial_14,F8,-0.4347060418012478,5.595435043322596e-11
Baseline (with_audio_and_visual_stimulus),trial_14,T3,-0.2234287518820302,1.6516015950291042e-11
Baseline (with_audio_and_visual_stimulus),trial_14,T4,-0.05011324698471725,1.4606517779287596e-11
Baseline (with_audio_and_visual_stimulus),trial_14,T5,-0.2716402524361156,1.2828978230065106e-11
Baseline (with_audio_and_visual_stimulus),trial_14,T6,-0.25276481152263647,1.374153588753333e-11
Baseline (with_audio_and_visual_stimulus),trial_15,F7,-0.1517375038240444,1.705574542904543e-11
Baseline (with_audio_and_visual_stimulus),trial_15,F3,-0.1362551128472139,1.495078946733217e-11
Baseline (with_audio_and_visual_stimulus),trial_15,F4,-0.15120285419071927,2.586691173663344e-11
Baseline (with_audio_and_visual_stimulus),trial_15,F8,-0.34769231468920203,4.3120765911080764e-11
Baseline (with_audio_and_visual_stimulus),trial_15,T3,-0.09811329800982328,1.784984764703486e-11
Baseline (with_audio_and_visual_stimulus),trial_15,T4,-0.1168516360404187,1.6259817294282513e-11
Baseline (with_audio_and_visual_stimulus),trial_15,T5,-0.19951495806764988,1.297223871887492e-11
Baseline (with_audio_and_visual_stimulus),trial_15,T6,-0.3129867931938541,1.5152824772628273e-11
Baseline (with_audio_and_visual_stimulus),trial_16,F7,-0.1557981660260763,3.1563189713065765e-11
Baseline (with_audio_and_visual_stimulus),trial_16,F3,-0.14365570163505736,1.3356998152654413e-11
Baseline (with_audio_and_visual_stimulus),trial_16,F4,-0.1988675680360818,2.301601759663924e-11
Baseline (with_audio_and_visual_stimulus),trial_16,F8,-0.34241383247446366,3.2420103545825923e-11
Baseline (with_audio_and_visual_stimulus),trial_16,T3,-0.0643651842380773,1.53633969963053e-11
Baseline (with_audio_and_visual_stimulus),trial_16,T4,-0.1289549450995406,1.160041333475168e-11
Baseline (with_audio_and_visual_stimulus),trial_16,T5,-0.2015770019811167,1.3455318173250066e-11
Baseline (with_audio_and_visual_stimulus),trial_16,T6,-0.2816615130232861,1.5951244268309122e-11
Baseline (with_audio_and_visual_stimulus),trial_17,F7,-0.26982262532491497,4.399331237377597e-11
Baseline (with_audio_and_visual_stimulus),trial_17,F3,-0.10297473210563604,1.5239130544988728e-11
Baseline (with_audio_and_visual_stimulus),trial_17,F4,-0.17988138544046084,2.240065241333556e-11
Baseline (with_audio_and_visual_stimulus),trial_17,F8,-0.3834489017082348,7.271054835042462e-11
Baseline (with_audio_and_visual_stimulus),trial_17,T3,-0.185421832766888,2.0907605051029295e-11
Baseline (with_audio_and_visual_stimulus),trial_17,T4,-0.008505968824494656,1.72451087808627e-11
Baseline (with_audio_and_visual_stimulus),trial_17,T5,-0.1501250287843586,1.4217374019575963e-11
Baseline (with_audio_and_visual_stimulus),trial_17,T6,-0.18918852496989977,1.7150112011888363e-11
