test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,n_test_trials,n_test_samples,model_loaded,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,channel
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,3.3018009662628174,2.627472162246704,0.9296059012413025,0.8621851801872253,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,C6
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,2.216740369796753,1.7471750974655151,0.9721806049346924,0.9450110197067261,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,CP3
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,1.7570985555648804,1.4070388078689575,0.9843170046806335,0.9685894846916199,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,CP1
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,1.9864981174468994,1.5724618434906006,0.9815036058425903,0.9629464745521545,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,CPz
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,1.589577317237854,1.2586283683776855,0.9874828457832336,0.9749533534049988,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,CP2
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,1.8530316352844238,1.4597837924957275,0.9818124175071716,0.9638240933418274,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,CP4
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,1.8373550176620483,1.4386510848999023,0.9815801382064819,0.9634255170822144,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,P1
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,1.5702139139175415,1.231540560722351,0.9866376519203186,0.9733973145484924,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,P2
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.8096649646759033,1.3700004816055298,0.9836410284042358,0.9675264072791876,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.6664966344833374,1.3186851739883423,0.9878895282745361,0.9758790135383606,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,FC1
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.9757533073425293,1.5259250402450562,0.9844931364059448,0.9691274762153625,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,FCz
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.5353277921676636,1.2218530178070068,0.9899129271507263,0.9797845482826233,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,FC2
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,2.688382863998413,2.1365952491760254,0.9442012906074524,0.8903401494026184,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,C5
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.6694233417510986,1.340672254562378,0.9868116974830627,0.9737668037414551,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,C1
